Sex,Length,Diameter,Whole weight,Shucked weight,Viscera weight,Shell weight,log_Height,Rings
M,0.535,0.435,0.725,0.269,0.1385,0.25,0.13976194237515868,9
M,0.47,0.375,0.523,0.214,0.132,0.145,0.12221763272424921,8
M,0.47,0.37,0.5225,0.201,0.133,0.165,0.12221763272424921,7
F,0.475,0.375,0.5785,0.2775,0.085,0.155,0.11778303565638346,10
I,0.36,0.265,0.2315,0.105,0.046,0.075,0.09075436326846414,7
M,0.55,0.435,0.843,0.328,0.1915,0.255,0.13540463700620295,15
M,0.53,0.435,0.9825985765124554,0.316,0.164,0.335,0.14842000511827327,15
F,0.53,0.415,0.724,0.3105,0.1675,0.205,0.1310282624064041,10
M,0.605,0.47,1.1735,0.4975,0.2405,0.345,0.14842000511827327,12
F,0.52,0.41,0.727,0.291,0.1835,0.235,0.14410034397375684,12
F,0.545,0.43,0.802,0.2935,0.183,0.28,0.1527210870176639,11
F,0.5,0.4,0.6675,0.261,0.1315,0.22,0.11778303565638346,10
F,0.51,0.39,0.6335,0.231,0.179,0.2,0.126632650933366,9
F,0.435,0.395,0.3635,0.136,0.098,0.13,0.09984533496971613,9
M,0.495,0.395,0.5415,0.2375,0.1345,0.155,0.11778303565638346,9
M,0.465,0.36,0.431,0.172,0.107,0.175,0.09984533496971613,9
I,0.435,0.32,0.3325,0.1485,0.0635,0.105,0.07696104113612832,9
M,0.425,0.35,0.393,0.13,0.063,0.165,0.09984533496971613,9
F,0.545,0.41,0.6935,0.2975,0.146,0.21,0.11778303565638346,11
F,0.53,0.415,0.5915,0.233,0.1585,0.18,0.10885440491208208,11
F,0.49,0.375,0.6125,0.2555,0.102,0.22,0.126632650933366,11
M,0.44,0.34,0.402,0.1305,0.0955,0.165,0.09984533496971613,10
F,0.56,0.43,0.8825,0.3465,0.172,0.31,0.13976194237515868,9
M,0.405,0.305,0.2605,0.1145,0.0595,0.085,0.08157998699242289,8
F,0.47,0.365,0.4205,0.163,0.1035,0.14,0.09984533496971613,9
I,0.385,0.295,0.2535,0.103,0.0575,0.085,0.08157998699242289,7
F,0.515,0.425,0.766,0.304,0.1725,0.255,0.1310282624064041,14
M,0.37,0.265,0.214,0.09,0.051,0.07,0.0723206615796261,6
I,0.36,0.28,0.1755,0.081,0.0505,0.07,0.07696104113612832,6
I,0.27,0.195,0.073,0.0285,0.0235,0.03,0.058268908123975775,5
I,0.375,0.275,0.238,0.1075,0.0545,0.07,0.08617769624105233,6
I,0.385,0.3257367149758454,0.2505,0.112,0.061,0.08,0.08157998699242289,8
M,0.7,0.535,1.7255,0.63,0.2635,0.54,0.14842000511827327,19
M,0.71,0.54,0.9825985765124554,0.7665,0.261,0.78,0.1527210870176639,18
M,0.595,0.48,1.262,0.4835,0.283,0.41,0.1527210870176639,17
F,0.44,0.35,0.4035,0.175,0.063,0.129,0.11778303565638346,9
F,0.325,0.26,0.1915,0.085,0.036,0.062,0.08617769624105233,7
I,0.35,0.26,0.211,0.086,0.056,0.068,0.09075436326846414,7
I,0.265,0.2,0.0975,0.04,0.0205,0.028,0.06297479916138843,7
F,0.425,0.33,0.406,0.1635,0.081,0.1355,0.10885440491208208,8
F,0.305,0.23,0.156,0.0675,0.0345,0.048,0.07696104113612832,7
M,0.345,0.255,0.2005,0.094,0.0295,0.063,0.08617769624105233,9
F,0.405,0.325,0.3555,0.151,0.063,0.117,0.10436001532424277,9
M,0.375,0.285,0.253,0.096,0.0575,0.0925,0.09075436326846414,9
F,0.565,0.445,0.826,0.341,0.2055,0.2475,0.14410034397375684,10
F,0.55,0.45,0.741,0.295,0.1435,0.2665,0.13540463700620295,10
M,0.65,0.52,1.3445,0.519,0.306,0.4465,0.173953307123438,16
M,0.56,0.455,0.797,0.34,0.19,0.2425,0.14410034397375684,11
M,0.475,0.375,0.5175,0.2075,0.1165,0.17,0.12221763272424921,10
F,0.49,0.38,0.549,0.245,0.1075,0.174,0.11778303565638346,10
M,0.46,0.35,0.515,0.224,0.108,0.1565,0.11332868530700317,10
I,0.28,0.205,0.127,0.052,0.039,0.042,0.07696104113612832,9
I,0.175,0.13,0.0315,0.0105,0.0065,0.0125,0.05354076692802982,5
I,0.17,0.13,0.03,0.013,0.008,0.01,0.09075436326846414,4
M,0.59,0.475,1.053,0.4415,0.262,0.325,0.13540463700620295,15
F,0.605,0.5,1.1185,0.469,0.2585,0.335,0.16974277458709452,9
F,0.635,0.515,1.3715,0.5065,0.305,0.45,0.173953307123438,10
F,0.605,0.485,1.0565,0.37,0.2355,0.355,0.14842000511827327,10
F,0.565,0.45,0.9885,0.387,0.1495,0.31,0.126632650933366,12
M,0.515,0.405,0.722,0.32,0.131,0.21,0.12221763272424921,10
F,0.575,0.46,1.0224226985242446,0.392,0.2425,0.34,0.173953307123438,13
M,0.645,0.485,1.514,0.546,0.2615,0.635,0.1947440767925118,16
F,0.58,0.4492524682651622,0.9075,0.374,0.2135,0.285,0.15700374880966475,13
F,0.575,0.46,1.124,0.2985,0.1785,0.44,0.1527210870176639,13
M,0.605,0.465,1.056,0.4215,0.2475,0.34,0.1527210870176639,13
F,0.605,0.485,1.222,0.53,0.2575,0.28,0.14842000511827327,13
M,0.61,0.485,1.2445,0.544,0.297,0.345,0.16126814759612226,12
F,0.725,0.56,2.141,0.65,0.398,1.005,0.19062035960864973,18
F,0.65,0.545,1.752,0.5605,0.2895,0.815,0.20701416938432612,16
M,0.725,0.57,2.55,1.0705,0.483,0.725,0.173953307123438,14
F,0.725,0.575,2.124,0.765,0.4515,0.85,0.16126814759612226,20
F,0.68,0.57,1.0224226985242446,0.625,0.408,0.65,0.1864795669426183,20
M,0.705,0.56,1.981,0.8175,0.3085,0.76,0.19885085874516517,14
F,0.68,0.515,1.6185,0.5125,0.409,0.62,0.16126814759612226,12
F,0.695,0.55,1.9565,0.7125,0.541,0.29513775156141564,0.1947440767925118,14
F,0.53,0.395,0.775,0.308,0.169,0.255,0.13540463700620295,7
M,0.525,0.435,1.065,0.486,0.233,0.285,0.14410034397375684,8
F,0.52,0.405,0.776,0.32,0.1845,0.22,0.10885440491208208,8
I,0.235,0.16,0.048,0.0185,0.018,0.015,0.039220713153281295,5
I,0.36,0.26,0.1785,0.0645,0.037,0.075,0.08617769624105233,7
I,0.315,0.21,0.125,0.06,0.0375,0.035,0.058268908123975775,5
I,0.315,0.245,0.1435,0.053,0.0475,0.05,0.08157998699242289,8
I,0.225,0.16,0.0465,0.025,0.015,0.015,0.04401688541677432,4
M,0.58,0.475,0.9825985765124554,0.385,0.2165,0.35,0.13976194237515868,11
M,0.57,0.48,0.9395,0.399,0.2,0.295,0.16551443847757338,14
M,0.64,0.51,1.368,0.515,0.266,0.57,0.16126814759612226,21
F,0.56,0.45,1.0235,0.429,0.268,0.3,0.14842000511827327,10
F,0.62,0.4492524682651622,1.0165,0.4355,0.214,0.325,0.16126814759612226,10
F,0.645,0.51,1.5675,0.621,0.367,0.46,0.18232155679395462,12
M,0.62,0.49,1.218,0.5455,0.2965,0.355,0.173953307123438,13
F,0.63,0.48,1.0525,0.392,0.336,0.285,0.13976194237515868,12
F,0.63,0.5,1.383,0.54,0.3315,0.38,0.16974277458709452,10
F,0.63,0.48,1.199,0.5265,0.335,0.315,0.14842000511827327,11
F,0.585,0.46,0.9325,0.365,0.271,0.29,0.15700374880966475,9
M,0.615,0.48,1.1595,0.4845,0.2165,0.325,0.16551443847757338,13
M,0.61,0.485,1.0225,0.419,0.2405,0.36,0.15700374880966475,12
M,0.58,0.45,0.927,0.276,0.1815,0.36,0.13976194237515868,14
F,0.355,0.275,0.22,0.092,0.06,0.15,0.08157998699242289,8
F,0.51,0.4,0.8145,0.459,0.1965,0.195,0.1310282624064041,10
M,0.5,0.43833921015514804,0.772,0.346,0.1535,0.245,0.14410034397375684,12
F,0.505,0.41,0.644,0.285,0.145,0.21,0.13976194237515868,11
M,0.64,0.5,1.3035,0.4445,0.2635,0.465,0.16974277458709452,16
M,0.56,0.45,0.922,0.432,0.178,0.26,0.14842000511827327,15
M,0.585,0.46,0.922,0.3635,0.213,0.285,0.16974277458709452,10
F,0.45,0.345,0.4165,0.1655,0.095,0.135,0.11332868530700317,9
M,0.5,0.4,0.825,0.254,0.205,0.285,0.1527210870176639,13
F,0.5,0.4,0.63,0.234,0.1465,0.23,0.13540463700620295,12
F,0.53,0.435,0.8155,0.2985,0.155,0.275,0.15700374880966475,13
M,0.42,0.335,0.369,0.171,0.071,0.12,0.10885440491208208,8
F,0.44,0.34,0.482,0.186,0.1085,0.16,0.1310282624064041,9
I,0.4,0.3257367149758454,0.315,0.109,0.067,0.12,0.10436001532424277,9
I,0.435,0.34,0.3795,0.1495,0.085,0.12,0.10436001532424277,8
F,0.525,0.415,0.8325,0.2755,0.1685,0.31,0.15700374880966475,13
I,0.37,0.28,0.2655,0.122,0.052,0.08,0.09075436326846414,7
F,0.49,0.365,0.6345,0.1995,0.1625,0.22,0.13540463700620295,10
M,0.335,0.25,0.181,0.0755,0.0415,0.06,0.08617769624105233,7
F,0.415,0.325,0.38,0.1595,0.0785,0.12,0.09984533496971613,12
M,0.5,0.405,0.6155,0.241,0.1355,0.205,0.1310282624064041,9
F,0.485,0.395,0.66,0.2475,0.128,0.235,0.14842000511827327,14
F,0.55,0.405,0.8025,0.244,0.1635,0.255,0.1310282624064041,10
M,0.45,0.35,0.46,0.174,0.111,0.135,0.12221763272424921,8
I,0.405,0.3,0.324,0.1265,0.07,0.11,0.11332868530700317,7
M,0.47,0.36,0.501,0.1665,0.115,0.165,0.126632650933366,10
F,0.415,0.305,0.32,0.1305,0.0755,0.29513775156141564,0.12221763272424921,8
F,0.445,0.325,0.455,0.1785,0.1125,0.14,0.11778303565638346,9
F,0.47,0.35,0.5175,0.187,0.1235,0.18,0.13540463700620295,11
F,0.49,0.375,0.5755,0.22,0.144,0.19,0.13976194237515868,9
F,0.445,0.355,0.485,0.181,0.125,0.155,0.13976194237515868,11
I,0.425,0.38,0.3265,0.1285,0.0785,0.1,0.09984533496971613,10
F,0.5,0.37,0.45,0.1715,0.1055,0.155,0.126632650933366,9
F,0.39,0.29,0.3055,0.121,0.082,0.09,0.11778303565638346,7
I,0.365,0.27,0.205,0.078,0.0485,0.07,0.08157998699242289,7
F,0.58,0.465,1.1015,0.404,0.2095,0.35,0.1527210870176639,11
F,0.53,0.415,0.783,0.2935,0.158,0.245,0.14842000511827327,15
M,0.555,0.445,0.836,0.336,0.1625,0.275,0.126632650933366,13
F,0.565,0.44,0.9025,0.31,0.193,0.325,0.16126814759612226,14
M,0.625,0.505,1.4455,0.496,0.287,0.435,0.1947440767925118,22
I,0.275,0.215,0.1155,0.0485,0.029,0.035,0.0723206615796261,7
I,0.44,0.35,0.435,0.1815,0.083,0.125,0.126632650933366,12
F,0.295,0.225,0.124,0.0485,0.032,0.04,0.07696104113612832,9
I,0.075,0.055,0.002,0.001,0.0005,0.0015,0.009950330853168083,1
F,0.13,0.1,0.013,0.0045,0.003,0.004,0.0295588022415444,3
I,0.11,0.09,0.008,0.0025,0.002,0.003,0.0295588022415444,3
I,0.16,0.12,0.021,0.0075,0.0045,0.005,0.034401426717332394,5
M,0.565,0.425,0.9425,0.3495,0.2185,0.275,0.14842000511827327,17
I,0.27,0.2,0.43063559999999995,0.034,0.0245,0.035,0.06765864847381481,5
I,0.23,0.175,0.0645,0.026,0.0105,0.02,0.06297479916138843,5
I,0.3,0.23,0.1275,0.0435,0.0265,0.04,0.07696104113612832,8
I,0.33,0.255,0.1655,0.063,0.039,0.06,0.08157998699242289,8
I,0.35,0.26,0.174,0.0705,0.0345,0.06,0.08157998699242289,10
I,0.32,0.245,0.1585,0.0635,0.0325,0.05,0.07696104113612832,13
F,0.36,0.275,0.1975,0.0745,0.0415,0.07,0.08157998699242289,9
I,0.305,0.245,0.156,0.0675,0.038,0.045,0.0723206615796261,7
I,0.345,0.27,0.2135,0.082,0.0545,0.07,0.10436001532424277,7
I,0.33,0.25,0.1715,0.0655,0.035,0.06,0.09984533496971613,7
M,0.59,0.47,1.1235,0.4205,0.2805,0.36,0.16551443847757338,13
F,0.595,0.455,1.0605,0.5135,0.2165,0.3,0.14410034397375684,12
F,0.575,0.46,1.094,0.4485,0.217,0.345,0.16974277458709452,15
M,0.6,0.495,1.2415,0.485,0.2775,0.34,0.1527210870176639,15
M,0.56,0.45,1.011,0.3835,0.2065,0.37,0.16126814759612226,15
M,0.56,0.45,1.07,0.3805,0.175,0.41,0.16974277458709452,19
M,0.545,0.46,0.8975,0.341,0.1655,0.345,0.14842000511827327,10
F,0.635,0.4492524682651622,1.415,0.605,0.297,0.365,0.15700374880966475,15
F,0.59,0.475,1.1015,0.4775,0.2555,0.295,0.14842000511827327,13
F,0.54,0.475,0.928,0.394,0.194,0.26,0.14410034397375684,11
F,0.57,0.44,0.865,0.3675,0.1725,0.27,0.11778303565638346,12
M,0.53,0.42,0.8945,0.319,0.239,0.245,0.1527210870176639,11
I,0.245,0.195,0.095,0.0445,0.0245,0.026,0.058268908123975775,4
M,0.27,0.2,0.1205,0.0465,0.028,0.04,0.07696104113612832,6
F,0.46,0.38,0.639,0.3,0.1525,0.16,0.12221763272424921,11
M,0.52,0.45,0.895,0.3615,0.186,0.235,0.13976194237515868,14
M,0.35,0.275,0.2925,0.1225,0.0635,0.0905,0.10436001532424277,8
M,0.47,0.39,0.6355,0.2185,0.0885,0.255,0.13976194237515868,9
F,0.45,0.36,0.4995,0.2035,0.1,0.17,0.11778303565638346,13
F,0.64,0.525,1.779,0.4535,0.2855,0.55,0.1947440767925118,22
M,0.59,0.5,0.9825985765124554,0.412,0.2705,0.37,0.18232155679395462,16
F,0.62,0.485,1.219,0.3875,0.2505,0.385,0.1864795669426183,14
M,0.63,0.505,1.525,0.56,0.3335,0.45,0.20294084399669032,15
M,0.63,0.515,1.259,0.4105,0.197,0.41,0.14410034397375684,13
M,0.655,0.54,0.9825985765124554,0.7425,0.327,0.585,0.1947440767925118,22
F,0.66,0.53,1.3485,0.493,0.245,0.49,0.16974277458709452,12
M,0.61,0.5,1.642,0.532,0.3345,0.69,0.2151113796169455,18
M,0.635,0.525,1.484,0.55,0.3115,0.43,0.1864795669426183,20
F,0.515,0.425,0.712,0.2665,0.1605,0.25,0.126632650933366,11
F,0.535,0.415,1.0224226985242446,0.314,0.1585,0.3,0.16974277458709452,15
I,0.36,0.285,0.2415,0.0915,0.057,0.075,0.09984533496971613,7
F,0.455,0.355,0.4495,0.177,0.104,0.15,0.11332868530700317,9
M,0.485,0.395,0.6295,0.2285,0.127,0.225,0.1310282624064041,14
M,0.515,0.38,0.9565,0.325,0.158,0.31,0.16126814759612226,14
F,0.535,0.415,0.879,0.295,0.1965,0.285,0.15700374880966475,10
M,0.53,0.435,0.699,0.288,0.1595,0.205,0.14410034397375684,10
F,0.495,0.4,0.6445,0.242,0.1325,0.205,0.14410034397375684,17
M,0.44,0.355,0.4775,0.132,0.0815,0.19,0.11778303565638346,9
F,0.535,0.435,0.8105,0.3155,0.1795,0.24,0.14842000511827327,10
M,0.54,0.435,0.996,0.3835,0.226,0.325,0.16551443847757338,17
F,0.565,0.505,1.2765,0.501,0.279,0.355,0.19062035960864973,12
M,0.61,0.475,1.116,0.428,0.2205,0.315,0.1527210870176639,15
F,0.565,0.455,1.013,0.342,0.207,0.35,0.16126814759612226,19
M,0.6,0.495,1.0575,0.384,0.19,0.375,0.178146185383474,26
I,0.295,0.215,0.128,0.049,0.034,0.04,0.08157998699242289,6
I,0.275,0.205,0.1105,0.045,0.0285,0.035,0.0723206615796261,6
I,0.28,0.21,0.1065,0.039,0.0295,0.03,0.08157998699242289,4
M,0.49,0.395,0.549,0.2215,0.1275,0.15,0.1310282624064041,11
M,0.37,0.28,0.234,0.0905,0.0585,0.075,0.09984533496971613,9
F,0.405,0.305,0.3485,0.1455,0.0895,0.1,0.09075436326846414,9
F,0.54,0.435,0.892,0.322,0.174,0.335,0.16126814759612226,13
M,0.37,0.28,0.252,0.1065,0.0595,0.074,0.09531017980432487,8
M,0.36,0.27,0.217,0.0885,0.0495,0.0715,0.09531017980432487,6
F,0.47,0.4492524682651622,0.472,0.182,0.114,0.15,0.12221763272424921,10
I,0.2,0.145,0.037,0.0125,0.0095,0.011,0.058268908123975775,4
I,0.165,0.3257367149758454,0.0215,0.007,0.005,0.005,0.0295588022415444,3
M,0.645,0.515,1.5415,0.471,0.369,0.535,0.2151113796169455,13
M,0.55,0.41,0.7605,0.2505,0.1635,0.195,0.11778303565638346,14
M,0.57,0.435,0.9055,0.3925,0.2355,0.275,0.13540463700620295,10
F,0.63,0.485,1.2435,0.4635,0.3055,0.39,0.173953307123438,21
M,0.56,0.44,0.971,0.443,0.2045,0.265,0.1310282624064041,14
M,0.595,0.455,1.3305,0.4595,0.3235,0.345,0.178146185383474,19
F,0.62,0.47,1.2255,0.381,0.27,0.435,0.18232155679395462,23
M,0.63,0.485,1.3,0.4335,0.2945,0.46,0.16126814759612226,23
I,0.45,0.3257367149758454,0.4585,0.194,0.067,0.14,0.10436001532424277,8
F,0.635,0.535,1.242,0.576,0.2475,0.39,0.173953307123438,14
M,0.45,0.35,0.3675,0.1465,0.1015,0.12,0.09531017980432487,10
F,0.58,0.455,0.8365,0.315,0.1385,0.32,0.14410034397375684,18
I,0.33,0.255,0.172,0.066,0.0255,0.06,0.09075436326846414,6
I,0.265,0.21,0.0965,0.0425,0.022,0.03,0.058268908123975775,5
I,0.19,0.145,0.038,0.0165,0.0065,0.015,0.039220713153281295,4
M,0.385,0.31,0.2845,0.1065,0.075,0.1,0.09531017980432487,11
I,0.265,0.205,0.1055,0.039,0.041,0.035,0.06765864847381481,5
M,0.335,0.265,0.222,0.0935,0.056,0.075,0.09984533496971613,7
F,0.355,0.275,0.251,0.097,0.053,0.08,0.08617769624105233,7
I,0.32,0.255,0.1755,0.073,0.0415,0.065,0.09531017980432487,7
M,0.51,0.4,0.6435,0.27,0.1665,0.205,0.12221763272424921,12
M,0.36,0.295,0.241,0.0865,0.053,0.095,0.09984533496971613,8
I,0.36,0.28,0.2255,0.0885,0.04,0.09,0.08617769624105233,8
M,0.5,0.38,0.5955,0.2135,0.161,0.2,0.14410034397375684,12
F,0.4,0.325,0.3185,0.134,0.0565,0.095,0.11332868530700317,8
I,0.3,0.22,0.121,0.0475,0.042,0.035,0.07696104113612832,5
I,0.235,0.175,0.0705,0.0335,0.015,0.02,0.039220713153281295,5
F,0.74,0.6,1.974,0.598,0.4085,0.71,0.178146185383474,16
M,0.62,0.465,1.3415,0.5705,0.3175,0.355,0.173953307123438,11
M,0.6,0.475,1.0875,0.403,0.2655,0.325,0.173953307123438,14
M,0.59,0.45,1.283,0.473,0.276,0.425,0.16974277458709452,16
M,0.62,0.475,1.325,0.6045,0.325,0.33,0.16974277458709452,13
F,0.565,0.45,1.0035,0.406,0.2505,0.285,0.178146185383474,15
M,0.575,0.455,1.165,0.581,0.2275,0.3,0.13540463700620295,14
F,0.62,0.51,1.3475,0.4775,0.2565,0.48,0.1864795669426183,14
M,0.62,0.465,1.274,0.579,0.3065,0.32,0.16974277458709452,12
F,0.505,0.375,0.568,0.2325,0.1495,0.17,0.16551443847757338,12
F,0.46,0.425,0.746,0.3005,0.152,0.24,0.14410034397375684,8
M,0.49,0.39,0.707,0.2795,0.2185,0.18,0.1310282624064041,13
F,0.525,0.42,0.756,0.2745,0.173,0.275,0.14842000511827327,9
I,0.34,0.26,0.2,0.08,0.0555,0.055,0.07696104113612832,6
I,0.375,0.305,0.2715,0.092,0.074,0.09,0.10885440491208208,8
M,0.61,0.48,1.2,0.56,0.2455,0.28,0.13976194237515868,14
F,0.61,0.495,1.153,0.536,0.2905,0.245,0.16974277458709452,8
F,0.585,0.45,0.8685,0.3325,0.1635,0.27,0.15700374880966475,22
M,0.57,0.46,0.9535,0.4465,0.2065,0.245,0.1310282624064041,12
M,0.58,0.455,0.93,0.408,0.259,0.22,0.15700374880966475,9
M,0.635,0.515,1.275,0.509,0.286,0.34,0.15700374880966475,16
M,0.7,0.58,2.13,0.7415,0.49,0.58,0.1864795669426183,20
M,0.675,0.525,1.587,0.6935,0.336,0.395,0.16974277458709452,13
F,0.645,0.4492524682651622,1.8085,0.7035,0.3885,0.395,0.173953307123438,18
M,0.745,0.585,2.499,0.9265,0.472,0.7,0.1947440767925118,17
